energy(MeV),y(mm),z(mm)
0.0887008,-195062,246390
0.0785963,-195062,246391
0.062614,-195063,246391
0.0540093,-195063,246391
0.0913401,-195063,246391
0.0423478,-195063,246392
0.0274826,-195063,246392
0.0352281,-195063,246392
0.0278807,-195063,246392
0.02237,-195063,246392
0.0401212,-195063,246392
0.0157912,-195063,246392
0.0225135,-195063,246392
0.019798,-195063,246392
0.015914,-195063,246392
0.0213444,-195063,246392
0.00001361,-98710.8,-92038.8
0.000839358,-98710.8,-92038.8
0.0127794,-98710.8,-92038.8
0.00001126,325073,479718
0.162282,325073,479719
0.294591,325074,479720
0.890208,325074,479722
0.402222,325075,479724
0.370269,325075,479725
0.367166,325075,479727
0.219377,325075,479729
0.135631,325075,479729
0.126344,325074,479730
0.0204563,325074,479730
0.0132886,325074,479730
0.00377071,325074,479730
0.00236063,325074,479730
0.0010694,325074,479730
0.000608769,325074,479730
4.85E-05,325074,479730
0.000392835,325074,479730
0.00000899,-503.849,-417970
0.00230545,-503.851,-417970
0.0123451,-503.858,-417970
0.0110192,-503.841,-417970
0.0178912,-503.827,-417970
0.0235273,-503.822,-417970
0.00340015,-503.822,-417970
0.00029101,263902,-359023
0.00001361,263878,-359021
0.00015834,263878,-359021
0.00356749,263878,-359021
0.0166546,263902,-359023
0.0239896,263902,-359023
0.010601,263902,-359023
0.0294991,263902,-359023
0.0153497,263902,-359023
0.013385,263902,-359023
0.0295106,263902,-359023
0.00303673,263902,-359023
0.00001756,258802,-94529.7
0.00000899,258775,-94523.4
0.000498764,258775,-94523.4
0.0225323,258775,-94523.4
0.00817462,258802,-94529.7
0.0218069,258802,-94529.7
0.0248994,258802,-94529.7
0.0233398,258802,-94529.7
0.0326268,258802,-94529.7
0.0303158,258802,-94529.7
0.0291184,258802,-94529.7
0.011487,258802,-94529.7
0.0155159,258803,-94529.7
0.0172851,258803,-94529.7
0.00001756,-61158.7,332367
0.00029101,-61159.5,332370
0.00171745,-61159.5,332370
0.0141773,-61159.5,332370
0.0225999,-61159.5,332370
0.00997533,-61159.5,332370
0.0145659,-61158.7,332367
0.0234796,-61158.8,332367
0.0551937,-61158.8,332367
0.0153056,-61158.9,332367
0.0162153,-61158.9,332367
0.0115272,-61158.9,332367
0.0123068,-61158.9,332367
0.0117934,-61158.9,332367
0.0118465,-61158.9,332367
0.0164333,-61159,332367
0.0139025,-61159,332367
0.0130007,-61159,332367
0.00029101,133684,259552
0.0214949,133684,259552
0.0591969,133684,259552
0.0561125,133684,259552
0.0377477,133684,259552
0.0456901,133684,259553
0.0918671,133684,259553
0.0188435,133684,259553
0.0485951,133684,259553
0.0150431,133684,259553
0.0164563,133684,259553
0.0120647,133684,259553
0.0327799,133684,259552
0.020952,133684,259552
